	velocity	Amplitude
0	-112.718578942	0.23749676
1	-112.512475012792	0.23105848
2	-112.30637108358398	0.21102054
3	-112.100267154376	0.23423661
4	-111.894163225168	0.26753736
5	-111.68805929595999	0.18326664
6	-111.48195536675199	0.22614655
7	-111.275851437544	0.21487765
8	-111.069747508336	0.182336
9	-110.863643579128	0.2149152
10	-110.65753964992	0.21293145
11	-110.45143572071198	0.20109656
12	-110.245331791504	0.2586166
13	-110.03922786229599	0.21237525
14	-109.83312393308799	0.20326602
15	-109.62702000387999	0.19941327
16	-109.420916074672	0.19825655
17	-109.214812145464	0.21980062
18	-109.008708216256	0.20702
19	-108.80260428704798	0.223433
20	-108.59650035783999	0.21114463
21	-108.390396428632	0.22495338
22	-108.18429249942399	0.24100524
23	-107.97818857021599	0.20240629
24	-107.772084641008	0.19372785
25	-107.5659807118	0.21870278
26	-107.359876782592	0.19270647
27	-107.153772853384	0.20442228
28	-106.94766892417599	0.2481012
29	-106.74156499496799	0.20519911
30	-106.53546106576	0.18816438
31	-106.32935713655199	0.19269994
32	-106.12325320734399	0.23272583
33	-105.917149278136	0.22572894
34	-105.711045348928	0.23642232
35	-105.50494141972	0.24886267
36	-105.298837490512	0.19435355
37	-105.09273356130399	0.21478248
38	-104.88662963209599	0.17050263
39	-104.68052570288799	0.19574678
40	-104.47442177367999	0.23996484
41	-104.268317844472	0.23328754
42	-104.06221391526398	0.2690896
43	-103.856109986056	0.23071
44	-103.650006056848	0.17096491
45	-103.44390212763999	0.26017323
46	-103.23779819843199	0.23244578
47	-103.03169426922399	0.2537539
48	-102.82559034001599	0.21106827
49	-102.619486410808	0.17622115
50	-102.4133824816	0.22637537
51	-102.20727855239198	0.18045785
52	-102.001174623184	0.2263641
53	-101.795070693976	0.20982957
54	-101.58896676476799	0.22325467
55	-101.38286283555999	0.21310893
56	-101.17675890635198	0.24014947
57	-100.970654977144	0.21430662
58	-100.764551047936	0.2098105
59	-100.55844711872798	0.18788321
60	-100.35234318951998	0.19109721
61	-100.146239260312	0.23974544
62	-99.94013533110399	0.21690702
63	-99.73403140189599	0.18094443
64	-99.52792747268799	0.19197285
65	-99.32182354347998	0.17968509
66	-99.115719614272	0.20280612
67	-98.909615685064	0.18417493
68	-98.70351175585598	0.24050055
69	-98.49740782664799	0.184971
70	-98.29130389744	0.22712493
71	-98.08519996823199	0.1971972
72	-97.87909603902399	0.2058399
73	-97.672992109816	0.21998423
74	-97.46688818060798	0.21308742
75	-97.2607842514	0.20975146
76	-97.054680322192	0.20840293
77	-96.84857639298399	0.19982654
78	-96.64247246377599	0.23542881
79	-96.436368534568	0.19999208
80	-96.23026460535999	0.19743986
81	-96.024160676152	0.24749747
82	-95.818056746944	0.2391456
83	-95.611952817736	0.21835783
84	-95.405848888528	0.21299218
85	-95.19974495932	0.22062501
86	-94.99364103011199	0.2670876
87	-94.78753710090399	0.21918654
88	-94.581433171696	0.16258945
89	-94.375329242488	0.24175091
90	-94.16922531328	0.22035062
91	-93.96312138407198	0.1932329
92	-93.757017454864	0.22915497
93	-93.550913525656	0.2029104
94	-93.34480959644799	0.25834042
95	-93.13870566723999	0.26723325
96	-92.93260173803198	0.2139459
97	-92.72649780882399	0.18955907
98	-92.520393879616	0.22673634
99	-92.31428995040798	0.20734063
100	-92.10818602119998	0.21903823
101	-91.902082091992	0.24159257
102	-91.69597816278399	0.24614817
103	-91.48987423357599	0.21016729
104	-91.28377030436799	0.25693157
105	-91.07766637515998	0.24220043
106	-90.871562445952	0.1754208
107	-90.665458516744	0.18832164
108	-90.45935458753598	0.22890507
109	-90.25325065832799	0.23449552
110	-90.04714672912	0.222115
111	-89.84104279991199	0.20199889
112	-89.63493887070399	0.2140417
113	-89.42883494149599	0.2001589
114	-89.22273101228798	0.25409555
115	-89.01662708308	0.2025244
116	-88.810523153872	0.21768227
117	-88.60441922466399	0.28000364
118	-88.39831529545599	0.18969032
119	-88.192211366248	0.21308275
120	-87.98610743703999	0.19963914
121	-87.78000350783199	0.19718252
122	-87.573899578624	0.20899144
123	-87.36779564941598	0.23871075
124	-87.161691720208	0.21369223
125	-86.955587791	0.20660579
126	-86.74948386179199	0.22609615
127	-86.54337993258399	0.24190444
128	-86.337276003376	0.19904767
129	-86.13117207416799	0.19720142
130	-85.92506814496	0.21231815
131	-85.718964215752	0.22039503
132	-85.51286028654398	0.23474064
133	-85.306756357336	0.20541441
134	-85.100652428128	0.16303483
135	-84.89454849891999	0.2004088
136	-84.68844456971199	0.24557066
137	-84.48234064050399	0.24842365
138	-84.276236711296	0.213503
139	-84.070132782088	0.23752047
140	-83.86402885287998	0.2020841
141	-83.65792492367198	0.178152
142	-83.451820994464	0.18276924
143	-83.24571706525599	0.21037012
144	-83.03961313604799	0.24993274
145	-82.83350920683998	0.20685065
146	-82.627405277632	0.18940124
147	-82.421301348424	0.19618167
148	-82.21519741921598	0.18875672
149	-82.00909349000798	0.20544982
150	-81.8029895608	0.22728214
151	-81.59688563159199	0.182877
152	-81.39078170238399	0.16355322
153	-81.18467777317599	0.24258822
154	-80.97857384396798	0.20628017
155	-80.77246991476	0.20498106
156	-80.566365985552	0.2127398
157	-80.36026205634398	0.2342976
158	-80.15415812713599	0.21732107
159	-79.948054197928	0.23440808
160	-79.74195026871999	0.20065252
161	-79.53584633951199	0.22449541
162	-79.329742410304	0.18455797
163	-79.12363848109598	0.21558127
164	-78.917534551888	0.23870221
165	-78.71143062268	0.2291948
166	-78.50532669347199	0.2105651
167	-78.29922276426399	0.22708306
168	-78.093118835056	0.23416892
169	-77.88701490584799	0.21405277
170	-77.68091097663999	0.23649181
171	-77.474807047432	0.19060294
172	-77.26870311822398	0.19904691
173	-77.062599189016	0.21278413
174	-76.856495259808	0.2144853
175	-76.65039133059999	0.26179883
176	-76.44428740139199	0.21173131
177	-76.238183472184	0.25420108
178	-76.03207954297599	0.20273972
179	-75.825975613768	0.20582005
180	-75.61987168456	0.19661611
181	-75.41376775535198	0.22823101
182	-75.20766382614399	0.20156187
183	-75.001559896936	0.24308594
184	-74.79545596772799	0.20197672
185	-74.58935203851998	0.24401577
186	-74.383248109312	0.1625752
187	-74.177144180104	0.23607053
188	-73.97104025089598	0.23198931
189	-73.764936321688	0.18407679
190	-73.55883239247999	0.19545132
191	-73.35272846327199	0.20870274
192	-73.14662453406399	0.24330744
193	-72.94052060485599	0.22191402
194	-72.73441667564798	0.2210693
195	-72.52831274644	0.24105597
196	-72.322208817232	0.20833418
197	-72.11610488802398	0.21927127
198	-71.91000095881598	0.24691397
199	-71.70389702960799	0.1794177
200	-71.49779310039999	0.22747391
201	-71.29168917119199	0.21604663
202	-71.08558524198399	0.19304347
203	-70.87948131277598	0.21909545
204	-70.673377383568	0.23661315
205	-70.46727345436	0.23250577
206	-70.26116952515198	0.1986908
207	-70.05506559594399	0.2001355
208	-69.84896166673599	0.21940237
209	-69.64285773752799	0.21569847
210	-69.43675380831999	0.19959638
211	-69.230649879112	0.2109493
212	-69.02454594990398	0.22229105
213	-68.818442020696	0.19673064
214	-68.612338091488	0.19281435
215	-68.40623416227999	0.18740411
216	-68.20013023307199	0.23946768
217	-67.99402630386399	0.19625589
218	-67.78792237465599	0.2055566
219	-67.581818445448	0.20438132
220	-67.37571451624	0.20256948
221	-67.16961058703198	0.1930243
222	-66.963506657824	0.16751733
223	-66.757402728616	0.2213883
224	-66.55129879940799	0.17565298
225	-66.34519487019999	0.18748322
226	-66.139090940992	0.24406873
227	-65.932987011784	0.2645731
228	-65.72688308257598	0.16589625
229	-65.520779153368	0.2535258
230	-65.31467522415998	0.2135913
231	-65.10857129495199	0.23454182
232	-64.90246736574399	0.21177734
233	-64.69636343653599	0.2434258
234	-64.49025950732799	0.22397482
235	-64.28415557812	0.25425088
236	-64.078051648912	0.21941324
237	-63.87194771970399	0.22303948
238	-63.66584379049599	0.22216225
239	-63.45973986128799	0.26905313
240	-63.25363593207999	0.23425116
241	-63.04753200287199	0.20896009
242	-62.84142807366399	0.24710368
243	-62.63532414445599	0.21319629
244	-62.42922021524799	0.27009457
245	-62.223116286039996	0.22033828
246	-62.01701235683199	0.19327998
247	-61.810908427623986	0.16781995
248	-61.604804498415994	0.19422065
249	-61.39870056920799	0.23728094
250	-61.19259663999999	0.23540254
251	-60.986492710791985	0.22789624
252	-60.780388781583994	0.18001539
253	-60.57428485237599	0.20227537
254	-60.36818092316799	0.20003018
255	-60.16207699395999	0.20450112
256	-59.95597306475199	0.18459389
257	-59.74986913554399	0.24271345
258	-59.54376520633599	0.23856275
259	-59.33766127712799	0.19161761
260	-59.13155734791999	0.22503787
261	-58.925453418711996	0.19675374
262	-58.71934948950399	0.23960157
263	-58.51324556029599	0.18507993
264	-58.30714163108799	0.19275874
265	-58.10103770187999	0.21796446
266	-57.89493377267199	0.20880021
267	-57.688829843463985	0.19616956
268	-57.482725914255994	0.18034413
269	-57.27662198504799	0.21163549
270	-57.07051805583999	0.2142179
271	-56.86441412663199	0.20062539
272	-56.658310197423994	0.23431428
273	-56.45220626821599	0.2141194
274	-56.24610233900798	0.20702578
275	-56.03999840979999	0.19143347
276	-55.83389448059199	0.1886952
277	-55.62779055138399	0.20077968
278	-55.42168662217599	0.19507036
279	-55.21558269296799	0.27067384
280	-55.00947876375999	0.20393033
281	-54.803374834551995	0.14668898
282	-54.59727090534399	0.17014828
283	-54.391166976135985	0.17448853
284	-54.18506304692799	0.18239765
285	-53.97895911771999	0.1999379
286	-53.77285518851199	0.19014147
287	-53.566751259303985	0.20137791
288	-53.36064733009599	0.24627027
289	-53.15454340088799	0.18770215
290	-52.94843947167999	0.20271847
291	-52.74233554247199	0.16974771
292	-52.53623161326399	0.21548732
293	-52.33012768405599	0.21184939
294	-52.12402375484799	0.17457324
295	-51.91791982563999	0.20078498
296	-51.711815896431986	0.19019452
297	-51.50571196722399	0.23700657
298	-51.29960803801599	0.22453544
299	-51.09350410880799	0.19410992
300	-50.887400179599986	0.21158424
301	-50.681296250391995	0.22781764
302	-50.47519232118399	0.22343147
303	-50.269088391975984	0.1995706
304	-50.06298446276799	0.27811033
305	-49.85688053355999	0.19219069
306	-49.65077660435199	0.19024193
307	-49.44467267514399	0.22326207
308	-49.23856874593599	0.19094947
309	-49.03246481672799	0.18720122
310	-48.82636088751999	0.20770717
311	-48.62025695831199	0.19357625
312	-48.414153029103986	0.22534308
313	-48.20804909989599	0.20340466
314	-48.00194517068799	0.23225772
315	-47.79584124147999	0.2191781
316	-47.589737312271986	0.17729719
317	-47.383633383063994	0.20147577
318	-47.17752945385598	0.25063205
319	-46.97142552464799	0.20193365
320	-46.76532159543999	0.22768977
321	-46.55921766623198	0.2085114
322	-46.35311373702399	0.19793646
323	-46.14700980781599	0.2164316
324	-45.940905878607985	0.19852322
325	-45.73480194939999	0.22575894
326	-45.528698020191996	0.26121297
327	-45.32259409098398	0.18130149
328	-45.11649016177599	0.22947513
329	-44.910386232567994	0.19941832
330	-44.70428230335999	0.23845787
331	-44.49817837415199	0.21440399
332	-44.29207444494399	0.2303734
333	-44.08597051573599	0.16727702
334	-43.87986658652799	0.22657046
335	-43.67376265732	0.23010257
336	-43.467658728111985	0.1984221
337	-43.261554798903994	0.21856532
338	-43.05545086969598	0.18784481
339	-42.84934694048799	0.2354758
340	-42.64324301127999	0.21508732
341	-42.43713908207198	0.238383
342	-42.23103515286399	0.176553
343	-42.02493122365599	0.22914031
344	-41.818827294447985	0.16983676
345	-41.61272336523999	0.15780918
346	-41.406619436031995	0.21897739
347	-41.20051550682398	0.21867445
348	-40.99441157761599	0.21594247
349	-40.788307648407994	0.23252375
350	-40.58220371919998	0.22796005
351	-40.37609978999199	0.23440033
352	-40.16999586078399	0.20803204
353	-39.963891931575986	0.18340431
354	-39.75778800236799	0.19250771
355	-39.55168407316	0.18970962
356	-39.345580143951985	0.2036342
357	-39.13947621474399	0.19752826
358	-38.933372285535995	0.17219046
359	-38.72726835632798	0.18475331
360	-38.52116442711999	0.20838174
361	-38.31506049791198	0.21225467
362	-38.10895656870399	0.25498354
363	-37.90285263949599	0.20768598
364	-37.696748710287984	0.22788326
365	-37.490644781079986	0.24653769
366	-37.284540851871995	0.20728783
367	-37.07843692266398	0.22503316
368	-36.87233299345599	0.2266193
369	-36.66622906424799	0.2477104
370	-36.46012513503998	0.18886836
371	-36.25402120583199	0.20233075
372	-36.04791727662399	0.22165954
373	-35.841813347415986	0.20557594
374	-35.63570941820799	0.18606246
375	-35.429605489	0.25012425
376	-35.223501559791984	0.2092686
377	-35.01739763058399	0.21137425
378	-34.811293701375995	0.166195
379	-34.60518977216798	0.2053095
380	-34.39908584295999	0.22822337
381	-34.19298191375199	0.22590145
382	-33.98687798454399	0.24483529
383	-33.78077405533599	0.18461728
384	-33.574670126127984	0.2533516
385	-33.368566196919986	0.22595397
386	-33.162462267711994	0.22237688
387	-32.95635833850398	0.18988031
388	-32.750254409295984	0.23952276
389	-32.54415048008799	0.17896026
