	velocity	Amplitude
0	-144.08567623300002	0.7441669
1	-143.879568452812	0.81041455
2	-143.673460672624	0.8108552
3	-143.467352892436	0.79095566
4	-143.261245112248	0.75502944
5	-143.05513733205999	0.79910946
6	-142.849029551872	0.81095505
7	-142.642921771684	0.8187474
8	-142.43681399149602	0.7830231
9	-142.23070621130802	0.8116911
10	-142.02459843112	0.79495496
11	-141.818490650932	0.8216809
12	-141.612382870744	0.8123279
13	-141.40627509055602	0.77939034
14	-141.20016731036802	0.8032903
15	-140.99405953018	0.7948495
16	-140.787951749992	0.79952985
17	-140.581843969804	0.74287695
18	-140.375736189616	0.8040119
19	-140.169628409428	0.7926309
20	-139.96352062924	0.8798186
21	-139.757412849052	0.7722659
22	-139.551305068864	0.8185356
23	-139.34519728867602	0.79783344
24	-139.139089508488	0.80608064
25	-138.9329817283	0.8171756
26	-138.726873948112	0.85486245
27	-138.52076616792402	0.75648814
28	-138.31465838773602	0.81650555
29	-138.108550607548	0.798568
30	-137.90244282736	0.80706644
31	-137.696335047172	0.84896696
32	-137.490227266984	0.79695123
33	-137.284119486796	0.84823596
34	-137.078011706608	0.8707824
35	-136.87190392642	0.7892869
36	-136.665796146232	0.80472815
37	-136.459688366044	0.8203853
38	-136.253580585856	0.8226604
39	-136.047472805668	0.79208297
40	-135.84136502548	0.78554195
41	-135.63525724529202	0.84767056
42	-135.42914946510402	0.7821946
43	-135.223041684916	0.76990336
44	-135.016933904728	0.7897365
45	-134.81082612454	0.79044956
46	-134.604718344352	0.82087135
47	-134.39861056416402	0.7728692
48	-134.192502783976	0.814254
49	-133.986395003788	0.83035374
50	-133.7802872236	0.82428324
51	-133.574179443412	0.80284995
52	-133.368071663224	0.82157445
53	-133.16196388303598	0.79334015
54	-132.95585610284803	0.8654168
55	-132.74974832266003	0.7828878
56	-132.54364054247202	0.7814318
57	-132.337532762284	0.8005551
58	-132.131424982096	0.7917093
59	-131.925317201908	0.80033195
60	-131.71920942172	0.79116946
61	-131.51310164153202	0.8050704
62	-131.306993861344	0.829641
63	-131.100886081156	0.81270665
64	-130.894778300968	0.82542956
65	-130.68867052078002	0.8119569
66	-130.48256274059202	0.82375216
67	-130.276454960404	0.7669348
68	-130.070347180216	0.78754556
69	-129.864239400028	0.8168196
70	-129.65813161984	0.8361416
71	-129.45202383965199	0.8282278
72	-129.245916059464	0.7768316
73	-129.039808279276	0.7738629
74	-128.833700499088	0.78943986
75	-128.62759271890002	0.79882336
76	-128.421484938712	0.80446386
77	-128.215377158524	0.7923697
78	-128.009269378336	0.79339725
79	-127.803161598148	0.7730231
80	-127.59705381796	0.82511675
81	-127.39094603777201	0.792403
82	-127.184838257584	0.813715
83	-126.978730477396	0.8454721
84	-126.772622697208	0.78776395
85	-126.56651491702	0.81125784
86	-126.36040713683201	0.8120359
87	-126.15429935664402	0.83819616
88	-125.94819157645601	0.78540045
89	-125.742083796268	0.8359216
90	-125.53597601608001	0.78820217
91	-125.32986823589201	0.8356737
92	-125.123760455704	0.85302573
93	-124.917652675516	0.8162435
94	-124.711544895328	0.7672357
