x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
0 0 1.0000 1.0000 0.3365 0.0038 -4.4530 0.0231 1.7433 0.0249 1.4703 0.0377 0.0109 0.0078 -802.1512 0.5480 2 4 0 0 0 1 0
0 0 1.0000 1.0000 0.0411 0.0056 0.3368 0.1274 0.7748 0.1291 0.0799 0.0259 0.0109 0.0078 -802.1512 0.5480 2 4 0 0 0 0 0
1 0 nan nan 0.0892 0.0133 -104.8452 0.1565 0.9084 0.1565 0.2032 0.0705 0.0293 0.0000 -1035.0050 0.9711 4 4 0 0 0 0 0
1 0 nan nan 0.1064 0.0152 -5.4195 0.1153 0.7010 0.1153 0.1869 0.0617 0.0293 0.0000 -1035.0050 0.9711 4 4 0 0 0 0 0
1 0 nan nan 0.1244 0.0229 -1.1557 0.1446 0.6978 0.1417 0.2176 0.0924 0.0293 0.0000 -1035.0050 0.9711 4 4 0 0 0 0 0
1 0 nan nan 0.2108 0.0112 1.5116 0.1618 1.3921 0.1561 0.7355 0.1259 0.0293 0.0000 -1035.0050 0.9711 4 4 0 0 0 0 0
2 0 nan nan 0.3160 0.0295 37.0423 0.0750 0.6949 0.0750 0.5504 0.1164 0.0562 0.2520 -1414.1128 0.8087 4 4 0 0 0 0 0
2 0 nan nan 0.1073 0.0133 -97.9818 0.4893 3.4119 0.4893 0.9180 0.2620 0.0562 0.2520 -1414.1128 0.8087 4 4 0 0 0 0 0
2 0 nan nan 0.2093 0.0158 47.4438 0.2122 2.4379 0.2122 1.2788 0.2160 0.0562 0.2520 -1414.1128 0.8087 4 4 0 0 0 0 0
2 0 nan nan 0.2353 0.0169 69.3655 0.1757 2.1153 0.1757 1.2477 0.2009 0.0562 0.2520 -1414.1128 0.8087 4 4 0 0 0 0 0
0 1 1.0000 1.7321 0.0904 0.0113 37.1051 0.1323 0.9148 0.1323 0.2073 0.0597 0.0223 0.0000 -1270.9751 1.0015 4 4 0 0 0 0 0
0 1 1.0000 1.7321 0.0541 0.0070 -17.9536 0.3563 2.3817 0.3564 0.3232 0.0965 0.0223 0.0000 -1270.9751 1.0015 4 4 0 0 0 0 0
0 1 1.0000 1.7321 0.1371 0.0074 -1.4172 0.1344 2.1494 0.1373 0.7385 0.0897 0.0223 0.0000 -1270.9751 1.0015 4 4 0 0 0 0 0
0 1 1.0000 1.7321 0.0953 0.0120 -8.1447 0.1194 0.8115 0.1200 0.1938 0.0567 0.0223 0.0000 -1270.9751 1.0015 4 4 0 0 0 0 0
1 1 2.0004 1.4141 0.1775 0.0107 -2.7701 0.0850 1.2889 0.0968 0.5734 0.0803 0.0251 0.0003 -1367.9613 0.4904 4 4 0 0 0 0 0
1 1 2.0004 1.4141 0.0943 0.0149 7.5328 0.1046 0.5853 0.1105 0.1384 0.0521 0.0251 0.0003 -1367.9613 0.4904 4 4 0 0 0 0 0
1 1 2.0004 1.4141 0.0408 0.0043 11.1448 1.1773 8.7608 1.2479 0.8961 0.2359 0.0251 0.0003 -1367.9613 0.4904 4 4 0 0 0 1 0
1 1 2.0004 1.4141 0.0860 0.0108 -7.8999 0.1651 1.1609 0.1736 0.2503 0.0734 0.0251 0.0003 -1367.9613 0.4904 4 4 0 0 0 0 0
2 1 nan nan 0.0779 0.0099 -13.6639 0.3660 2.5036 0.3661 0.4887 0.1424 0.0337 0.0240 -774.2223 1.2421 2 4 1 0 0 0 0
2 1 nan nan 0.1259 0.0115 -0.9620 0.1935 1.8302 0.1936 0.5776 0.1196 0.0337 0.0240 -774.2223 1.2421 2 4 1 0 0 0 0
0 2 1.0000 2.2362 0.3486 0.9035 18.2328 0.1039 0.8904 0.3017 0.7780 2.9633 0.0104 0.0000 -1078.5857 0.3181 3 4 2 1 0 0 0
0 2 1.0000 2.2362 0.2537 0.0046 0.9373 0.0223 1.0762 0.0223 0.6845 0.0267 0.0104 0.0000 -1078.5857 0.3181 3 4 2 0 0 0 0
0 2 1.0000 2.2362 0.2148 0.9055 18.1508 0.2312 1.1278 0.5363 0.6071 4.0658 0.0104 0.0000 -1078.5857 0.3181 3 4 2 1 0 0 0
1 2 2.0007 1.9999 0.1353 0.0113 -3.4072 0.0857 1.2698 0.1131 0.4306 0.0774 0.0132 0.0000 -1355.5007 0.7645 5 3 4 1 0 0 0
1 2 2.0007 1.9999 0.0780 0.0089 -5.7827 0.4113 3.4785 0.2378 0.6803 0.1294 0.0132 0.0000 -1355.5007 0.7645 5 3 4 1 0 1 0
1 2 2.0007 1.9999 0.0726 0.0067 -16.6561 0.1174 1.0858 0.1179 0.1977 0.0418 0.0132 0.0000 -1355.5007 0.7645 5 3 4 0 0 0 0
1 2 2.0007 1.9999 0.0510 0.0082 5.0940 0.1365 0.7299 0.1369 0.0932 0.0354 0.0132 0.0000 -1355.5007 0.7645 5 3 4 0 0 0 0
1 2 2.0007 1.9999 0.0426 0.0098 65.8608 0.1368 0.5159 0.1368 0.0551 0.0306 0.0132 0.0000 -1355.5007 0.7645 5 3 4 0 0 0 0
2 2 3.0007 0.9990 0.5558 0.0181 -5.5358 0.0823 2.1899 0.0823 3.0508 0.2177 0.0630 0.0000 -640.3694 1.8041 2 3 1 0 0 0 0
2 2 3.0007 0.9990 0.1741 0.0222 -87.7809 0.2143 1.4577 0.2143 0.6362 0.1864 0.0630 0.0000 -640.3694 1.8041 2 3 1 0 0 0 0
0 3 1.0000 2.6459 0.7538 0.0355 46.8042 0.0838 1.3896 0.0956 2.6257 0.3126 0.0959 0.0000 -1741.9392 0.9276 9 3 5 0 0 0 0
0 3 1.0000 2.6459 0.6473 0.0477 50.9376 0.0668 0.7385 0.0695 1.1982 0.2095 0.0959 0.0000 -1741.9392 0.9276 9 3 5 0 0 0 0
0 3 1.0000 2.6459 0.4089 0.0290 40.5092 0.1842 2.0859 0.2022 2.1377 0.3737 0.0959 0.0000 -1741.9392 0.9276 9 3 5 0 0 0 0
0 3 1.0000 2.6459 0.3024 0.0291 85.4042 0.2186 1.9674 0.2186 1.4912 0.3251 0.0959 0.0000 -1741.9392 0.9276 9 3 5 0 0 0 0
0 3 1.0000 2.6459 0.3931 0.0419 -4.7883 0.1166 0.9466 0.1166 0.9327 0.2267 0.0959 0.0000 -1741.9392 0.9276 9 3 5 0 0 0 0
0 3 1.0000 2.6459 0.2084 0.0191 -53.7792 0.4822 4.5499 0.4822 2.3768 0.4932 0.0959 0.0000 -1741.9392 0.9276 9 3 5 0 0 1 0
0 3 1.0000 2.6459 0.2416 0.0251 -97.6207 0.3169 2.6411 0.3169 1.5998 0.3781 0.0959 0.0000 -1741.9392 0.9276 9 3 5 0 0 0 0
0 3 1.0000 2.6459 0.3111 0.0458 -27.9155 0.1350 0.7953 0.1350 0.6202 0.2120 0.0959 0.0000 -1741.9392 0.9276 9 3 5 0 0 0 0
0 3 1.0000 2.6459 0.3439 0.0502 54.1431 0.1129 0.6670 0.1148 0.5749 0.1973 0.0959 0.0000 -1741.9392 0.9276 9 3 5 0 0 0 0
1 3 2.0010 2.4494 0.1029 0.0062 42.4500 0.0805 1.1596 0.0810 0.2992 0.0401 0.0137 0.0000 -642.1217 0.8259 2 3 3 0 0 0 0
1 3 2.0010 2.4494 0.1039 0.0066 47.7991 0.0744 1.0106 0.0749 0.2633 0.0375 0.0137 0.0000 -642.1217 0.8259 2 3 3 0 0 0 0
2 3 3.0013 1.7311 0.1212 0.0119 -3.4339 0.1331 1.1785 0.1331 0.3580 0.0794 0.0294 0.0041 -969.6489 0.5825 3 2 0 0 0 0 0
2 3 3.0013 1.7311 0.1083 0.0137 3.2931 0.1293 0.8883 0.1293 0.2411 0.0699 0.0294 0.0041 -969.6489 0.5825 3 2 0 0 0 0 0
2 3 3.0013 1.7311 0.0987 0.0093 -53.2436 0.2081 1.9100 0.2081 0.4724 0.1009 0.0294 0.0041 -969.6489 0.5825 3 2 0 0 0 0 0
