x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
0 0 1.0000 1.0000 1.1874 0.0303 3.5058 0.0941 2.2623 0.1010 6.7338 0.4801 0.0799 0.0027 -1975.5819 1.5009 11 4 5 0 0 0 0
0 0 1.0000 1.0000 0.8904 0.0337 -18.2404 0.0731 1.6709 0.0732 3.7293 0.3109 0.0799 0.0027 -1975.5819 1.5009 11 4 5 0 0 0 0
0 0 1.0000 1.0000 0.4577 0.0525 -31.5966 0.0914 0.6906 0.0914 0.7924 0.2078 0.0799 0.0027 -1975.5819 1.5009 11 4 5 0 0 0 0
0 0 1.0000 1.0000 0.3935 0.0630 57.0548 0.0886 0.4788 0.0886 0.4722 0.1770 0.0799 0.0027 -1975.5819 1.5009 11 4 5 0 0 0 0
0 0 1.0000 1.0000 0.4181 0.0264 17.3399 0.1992 2.7321 0.1994 2.8630 0.4030 0.0799 0.0027 -1975.5819 1.5009 11 4 5 0 0 0 0
0 0 1.0000 1.0000 0.3863 0.0550 -74.0122 0.1035 0.6299 0.1035 0.6099 0.2012 0.0799 0.0027 -1975.5819 1.5009 11 4 5 0 0 0 0
0 0 1.0000 1.0000 0.3282 0.0254 -59.7751 0.2637 2.9537 0.2637 2.4301 0.4216 0.0799 0.0027 -1975.5819 1.5009 11 4 5 0 0 0 0
0 0 1.0000 1.0000 0.9608 0.0682 -0.1788 0.0450 0.6054 0.0530 1.4581 0.2403 0.0799 0.0027 -1975.5819 1.5009 11 4 5 0 0 0 0
0 0 1.0000 1.0000 0.3643 0.0371 32.2746 0.1625 1.3824 0.1625 1.2623 0.2921 0.0799 0.0027 -1975.5819 1.5009 11 4 5 0 0 0 0
0 0 1.0000 1.0000 0.4205 0.0385 -10.0038 0.1582 1.2964 0.1640 1.3663 0.3139 0.0799 0.0027 -1975.5819 1.5009 11 4 5 0 0 0 0
