x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
0 0 1.0000 1.0000 0.3567 0.0073 -4.4449 0.0381 1.6049 0.0399 1.4348 0.0658 0.0208 0.0049 -1542.9332 1.4003 2 2 0 0 0 1 0
0 0 1.0000 1.0000 0.0559 0.0117 0.1481 0.1515 0.6133 0.1529 0.0859 0.0439 0.0208 0.0049 -1542.9332 1.4003 2 2 0 0 0 0 0
1 0 nan nan 0.1823 0.0256 -0.7045 0.1483 0.8997 0.1591 0.4112 0.1407 0.0544 0.0052 -1433.8213 1.1412 2 2 0 0 0 1 0
1 0 nan nan 0.4353 0.0403 1.6947 0.0391 0.3510 0.0396 0.3829 0.0827 0.0544 0.0052 -1433.8213 1.1412 2 2 0 0 0 0 0
2 0 nan nan 0.5257 0.0727 37.1532 0.0619 0.3876 0.0619 0.5107 0.1635 0.1056 0.0491 -941.8990 1.0948 3 2 0 0 0 0 0
2 0 nan nan 0.1898 0.0309 47.6136 0.4036 2.1444 0.4036 1.0200 0.3894 0.1056 0.0491 -941.8990 1.0948 3 2 0 0 0 1 0
2 0 nan nan 0.2331 0.0332 69.3585 0.3060 1.8621 0.3060 1.0880 0.3591 0.1056 0.0491 -941.8990 1.0948 3 2 0 0 0 0 0
0 1 1.0000 1.7321 0.1187 0.0254 -8.1184 0.1654 0.6668 0.1657 0.1984 0.1023 0.0480 0.0128 -1439.8765 1.7026 2 2 0 0 0 0 0
0 1 1.0000 1.7321 0.1401 0.0148 -1.4771 0.2411 1.9820 0.2428 0.6962 0.1677 0.0480 0.0128 -1439.8765 1.7026 2 2 0 0 0 1 0
1 1 2.0004 1.4141 0.2049 0.0194 -2.7410 0.1320 1.2086 0.1320 0.6207 0.1329 0.0511 0.0007 -1359.2933 1.0755 3 2 0 0 0 1 0
1 1 2.0004 1.4141 0.2005 0.0318 7.6254 0.0823 0.4498 0.0823 0.2260 0.0837 0.0511 0.0007 -1359.2933 1.0755 3 2 0 0 0 0 0
1 1 2.0004 1.4141 0.1964 0.0398 -7.6014 0.0670 0.2862 0.0670 0.1409 0.0682 0.0511 0.0007 -1359.2933 1.0755 3 2 0 0 0 0 0
2 1 nan nan 0.2116 0.0463 -13.3366 0.0919 0.3635 0.0919 0.1928 0.1015 0.0644 0.0029 -1199.9701 1.1851 2 3 0 0 0 0 0
2 1 nan nan 0.2430 0.0398 -1.2560 0.0929 0.4911 0.0929 0.2991 0.1149 0.0644 0.0029 -1199.9701 1.1851 2 3 0 0 0 0 0
0 2 1.0000 2.2362 0.1089 0.0881 17.9449 0.1253 0.4254 0.1869 0.1161 0.1862 0.0212 0.1011 -1543.9021 1.3678 3 2 0 1 0 0 0
0 2 1.0000 2.2362 0.3131 0.0102 0.9371 0.0315 0.8362 0.0315 0.6563 0.0470 0.0212 0.1011 -1543.9021 1.3678 3 2 0 0 0 0 0
0 2 1.0000 2.2362 0.6162 0.0893 18.2499 0.0474 0.8045 0.0342 1.2426 0.2406 0.0212 0.1011 -1543.9021 1.3678 3 2 0 1 0 0 0
1 2 2.0007 1.9999 0.1835 0.0093 -3.9667 0.1205 2.0491 0.1205 0.9426 0.1062 0.0300 0.0101 -1563.1901 1.4816 2 2 0 0 0 1 0
1 2 2.0007 1.9999 0.0802 0.0132 -16.7279 0.1947 1.0228 0.1947 0.2055 0.0795 0.0300 0.0101 -1563.1901 1.4816 2 2 0 0 0 0 0
2 2 3.0007 0.9990 0.4189 0.0355 -4.8962 0.1953 1.7375 0.1954 1.8246 0.3772 0.1086 0.0407 -1102.4082 1.1210 3 2 0 0 0 1 0
2 2 3.0007 0.9990 0.3267 0.0656 -88.2870 0.1169 0.5047 0.1169 0.4133 0.1979 0.1086 0.0407 -1102.4082 1.1210 3 2 0 0 0 0 0
2 2 3.0007 0.9990 0.6840 0.1079 -7.3182 0.0356 0.2031 0.0390 0.3483 0.1323 0.1086 0.0407 -1102.4082 1.1210 3 2 0 0 0 0 0
0 3 1.0000 2.6459 0.5442 0.0735 46.7796 0.1925 1.2306 0.2000 1.6788 0.5363 0.1875 0.0000 -733.7103 1.3369 2 2 0 0 0 1 0
0 3 1.0000 2.6459 0.5033 0.0985 50.8391 0.1552 0.6720 0.1574 0.8479 0.4033 0.1875 0.0000 -733.7103 1.3369 2 2 0 0 0 0 0
1 3 2.0010 2.4494 0.1193 0.0127 47.7372 0.1088 0.8852 0.1089 0.2648 0.0642 0.0276 0.0001 -1755.3684 1.2449 2 2 0 0 0 0 0
1 3 2.0010 2.4494 0.1143 0.0120 42.5564 0.1201 0.9908 0.1202 0.2839 0.0679 0.0276 0.0001 -1755.3684 1.2449 2 2 0 0 0 0 0
2 3 3.0013 1.7311 0.2308 0.0415 -53.3529 0.0733 0.3540 0.0733 0.2048 0.0869 0.0593 0.0246 -1222.9381 1.0371 2 2 0 0 0 0 0
2 3 3.0013 1.7311 0.1994 0.0362 -3.7384 0.0971 0.4633 0.0971 0.2316 0.0994 0.0593 0.0246 -1222.9381 1.0371 2 2 0 0 0 0 0
