x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
0 0 1.0000 1.0000 0.1601 0.0061 -0.6326 0.1930 4.6625 0.1791 1.8716 0.1461 0.0239 0.0000 -1650.8165 2.3545 3 2 0 0 1 1 0
0 0 1.0000 1.0000 0.0599 0.0083 -35.3392 0.2957 1.8521 0.2957 0.2781 0.0890 0.0239 0.0000 -1650.8165 2.3545 3 2 0 0 0 0 0
0 0 1.0000 1.0000 0.3075 0.0167 1.8693 0.0299 0.4922 0.0325 0.3794 0.0469 0.0239 0.0000 -1650.8165 2.3545 3 2 0 0 0 0 0
1 0 nan nan 1.2904 0.0680 -21.8219 0.1632 2.6828 0.1632 8.6777 1.0126 0.1884 0.0000 -311.6881 7.1537 2 3 0 0 1 0 0
1 0 nan nan 2.1391 0.0610 2.0394 0.1096 3.3269 0.1096 17.8388 1.1135 0.1884 0.0000 -311.6881 7.1537 2 3 0 0 1 1 0
2 0 nan nan 0.2679 0.0110 8.4305 0.0237 0.6832 0.0310 0.4589 0.0406 0.0126 0.0075 -1697.1691 1.4396 2 3 0 1 0 0 0
2 0 nan nan 0.1435 0.0095 7.3437 0.1092 2.0025 0.0758 0.7203 0.0767 0.0126 0.0075 -1697.1691 1.4396 2 3 0 1 0 1 0
3 0 nan nan 0.6524 0.0773 -2.4887 0.4416 2.1116 0.3795 3.4531 1.1034 0.1147 0.0000 -289.7540 17.2592 3 3 0 0 1 0 0
3 0 nan nan 2.2912 0.0528 4.1095 0.1596 2.8299 0.1422 16.2524 1.2101 0.1147 0.0000 -289.7540 17.2592 3 3 0 0 1 0 0
3 0 nan nan 0.4365 0.0377 -16.7087 0.5328 5.2368 0.5731 5.7304 1.1764 0.1147 0.0000 -289.7540 17.2592 3 3 0 0 0 1 0
0 1 1.0000 1.7321 0.6678 0.0813 -10.5681 0.3216 2.1758 0.3292 3.6423 1.0613 0.1990 0.0000 -240.5397 7.9685 2 3 0 0 0 0 0
0 1 1.0000 1.7321 1.8762 0.0646 0.7219 0.1443 3.5582 0.1541 16.7344 1.3261 0.1990 0.0000 -240.5397 7.9685 2 3 0 0 1 1 0
1 1 2.0004 1.4141 1.0206 0.0468 9.8144 0.0324 0.6692 0.0379 1.7119 0.1800 0.0801 0.0064 -1017.3682 1.5255 3 3 0 1 0 0 0
1 1 2.0004 1.4141 0.5618 0.0480 6.6102 0.0558 0.6010 0.0625 0.8463 0.1679 0.0801 0.0064 -1017.3682 1.5255 3 3 0 0 0 0 0
1 1 2.0004 1.4141 0.1824 0.0244 10.6517 0.6425 5.7527 0.6103 2.6303 0.6685 0.0801 0.0064 -1017.3682 1.5255 3 3 0 1 0 1 0
2 1 nan nan 0.4114 0.0190 -9.1802 0.1936 3.4415 0.2082 3.5490 0.3885 0.0734 0.0000 -1061.5139 2.7792 3 3 0 0 0 1 0
2 1 nan nan 1.2215 0.0670 0.6654 0.0344 0.9425 0.0542 2.8858 0.3335 0.0734 0.0000 -1061.5139 2.7792 3 3 0 0 0 0 0
2 1 nan nan 0.7593 0.0249 4.0253 0.2374 2.9306 0.1709 5.5776 0.5186 0.0734 0.0000 -1061.5139 2.7792 3 3 0 0 1 0 0
3 1 nan nan 1.1452 0.0627 -3.1335 0.1011 1.3099 0.0999 3.7602 0.5081 0.1492 0.0000 -638.3944 2.7167 3 3 0 0 1 0 0
3 1 nan nan 1.0915 0.0469 2.5108 0.1440 2.3055 0.1577 6.3076 0.7210 0.1492 0.0000 -638.3944 2.7167 3 3 0 0 1 1 0
3 1 nan nan 0.8315 0.0987 -7.5618 0.0665 0.4830 0.0666 1.0068 0.2749 0.1492 0.0000 -638.3944 2.7167 3 3 0 0 0 0 0
0 2 1.0000 2.2362 0.5450 0.0172 2.3047 0.0604 1.2446 0.0592 1.7004 0.1372 0.0431 0.0000 -1356.9645 1.9868 3 3 0 0 1 0 0
