x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
0 0 1.0000 1.0000 0.5166 0.0049 4.9232 0.0391 3.6119 0.0397 4.6769 0.0961 0.0052 0.0530 -240.5140 1.0633 2 1 0 0 0 0 0
0 0 1.0000 1.0000 0.0104 0.0033 -185.6696 4.1521 8.3807 4.5553 0.2185 0.2270 0.0052 0.0530 -240.5140 1.0633 2 1 0 0 0 0 0
2 0 nan nan 0.0620 0.0117 271.3077 2.6727 12.2223 2.6727 1.8987 0.8533 0.0248 0.0001 -261.8468 0.5727 2 1 0 0 0 1 0
2 0 nan nan 0.0664 0.0172 -183.1452 1.7543 5.8519 1.8411 0.9738 0.6380 0.0248 0.0001 -261.8468 0.5727 2 1 0 0 0 0 0
3 0 nan nan 0.0450 0.0076 7.4305 2.0231 10.4006 2.0231 1.1719 0.4638 0.0135 0.1938 -185.9785 0.9683 1 1 0 0 0 0 0
4 0 nan nan 0.0734 0.0067 -4.4743 0.9877 9.3090 0.9877 1.7139 0.3560 0.0106 0.0539 -182.8078 1.8149 1 1 0 0 0 0 0
5 0 nan nan 0.0405 0.0119 -11.0426 1.2064 3.5508 1.2123 0.3608 0.2658 0.0124 0.2113 -230.3607 1.1180 1 1 0 0 0 0 0
0 1 1.0000 1.7321 0.0536 0.0160 -8.2824 1.5046 4.3622 1.5027 0.5856 0.4374 0.0192 0.5524 -156.5575 1.2808 1 1 0 0 0 0 0
1 1 2.0004 1.4141 0.0566 0.0084 -6.7024 0.8819 5.1397 0.8819 0.7289 0.2520 0.0107 0.1116 -190.4993 0.8174 1 1 0 0 0 0 0
2 1 nan nan 0.0334 0.0072 -10.6867 1.2202 4.8848 1.2203 0.4088 0.2126 0.0096 0.0063 -286.2699 0.6819 1 1 0 0 0 0 0
4 1 nan nan 0.1990 0.0188 -11.3044 0.3838 3.3192 0.4086 1.6559 0.3796 0.0191 0.0221 -157.2912 0.5244 3 1 2 0 0 0 0
4 1 nan nan 0.0620 0.0198 -142.9030 1.1123 3.1779 1.2199 0.4937 0.4079 0.0191 0.0221 -157.2912 0.5244 3 1 2 0 0 0 0
4 1 nan nan 0.0764 0.0213 0.8993 0.9593 2.9520 1.1201 0.5655 0.4318 0.0191 0.0221 -157.2912 0.5244 3 1 2 0 0 0 0
0 2 1.0000 2.2362 0.1304 0.0070 -15.2831 0.2206 3.5331 0.2177 1.1547 0.1370 0.0074 0.3754 -217.0193 1.2339 1 1 0 0 0 0 0
1 2 2.0007 1.9999 0.0594 0.0171 89.1447 2.2979 6.9051 2.2979 1.0279 0.7377 0.0243 0.0766 -235.5897 0.7529 1 1 0 0 0 0 0
2 2 3.0007 0.9990 0.0215 0.0057 5.5161 5.7066 18.6378 5.7066 1.0051 0.6559 0.0137 0.5619 -171.7867 0.8066 1 1 0 0 0 1 0
3 2 nan nan 0.0102 0.0025 92.6964 8.1714 28.5089 8.1714 0.7273 0.4408 0.0072 0.0462 -312.4824 0.5079 1 2 0 0 0 1 0
4 2 nan nan 0.3635 0.0313 38.3763 0.4406 4.4319 0.4403 4.0385 0.7833 0.0383 0.0438 -128.2024 0.9020 2 2 0 0 0 0 1
4 2 nan nan 0.1139 0.0298 -65.2219 1.4790 4.9000 1.4791 1.3991 0.8982 0.0383 0.0438 -128.2024 0.9020 2 2 0 0 0 0 1
5 2 nan nan 0.0304 0.0088 97.8453 1.2490 3.6797 1.2254 0.2803 0.2021 0.0086 0.0248 -370.5806 1.8120 3 2 4 0 0 0 0
5 2 nan nan 0.0720 0.0596 -25.6650 2.5601 1.5758 13.1495 0.2845 4.5729 0.0086 0.0248 -370.5806 1.8120 3 2 4 0 0 0 0
5 2 nan nan 0.0641 0.0073 -9.7832 0.7913 5.7311 0.8705 0.9202 0.2614 0.0086 0.0248 -370.5806 1.8120 3 2 4 0 0 0 0
0 3 1.0000 2.6459 0.0414 0.0138 111.1806 2.0328 5.2708 2.0328 0.5471 0.4640 0.0179 0.5973 -230.3710 1.2709 1 1 0 0 0 0 0
1 3 2.0010 2.4494 0.0788 0.0211 263.3697 2.6684 8.6196 2.6684 1.7031 1.1252 0.0357 0.0278 -214.8735 0.7242 2 1 0 0 0 0 0
1 3 2.0010 2.4494 0.0576 0.0157 35.0856 4.9163 15.6431 4.9163 2.2600 1.5187 0.0357 0.0278 -214.8735 0.7242 2 1 0 0 0 1 0
2 3 3.0013 1.7311 0.0437 0.0070 34.2903 0.8715 4.6938 0.8713 0.5143 0.1935 0.0083 0.0505 -203.3262 0.5370 2 1 0 0 0 0 0
2 3 3.0013 1.7311 0.0167 0.0052 286.4192 3.0563 8.4674 3.0562 0.3553 0.2794 0.0083 0.0505 -203.3262 0.5370 2 1 0 0 0 0 0
3 3 nan nan 0.0608 0.0190 41.4179 1.4558 4.0251 1.4599 0.6130 0.4841 0.0229 0.2263 -138.1940 1.0759 2 1 0 0 0 0 0
3 3 nan nan 0.0470 0.0135 -6.8578 2.6539 8.0098 2.6539 0.9441 0.6735 0.0229 0.2263 -138.1940 1.0759 2 1 0 0 0 0 0
4 3 nan nan 0.0622 0.0088 -2.6702 0.8216 5.0224 0.8250 0.7826 0.2574 0.0119 0.0039 -252.3524 0.4698 3 1 1 0 0 0 0
4 3 nan nan 0.0337 0.0099 188.8491 1.3409 3.9623 1.3451 0.3351 0.2455 0.0119 0.0039 -252.3524 0.4698 3 1 1 0 0 0 0
4 3 nan nan 0.0284 0.0069 -35.5791 2.2931 8.1852 2.3086 0.5828 0.3457 0.0119 0.0039 -252.3524 0.4698 3 1 1 0 0 0 0
0 4 1.0000 3.0003 0.1838 0.0053 7.3404 0.1077 2.6794 0.0815 1.2346 0.0740 0.0053 0.2701 -198.8352 0.9698 2 1 0 0 0 0 0
0 4 1.0000 3.0003 0.0535 0.0059 -9.4426 0.3542 2.9396 0.3861 0.3939 0.1005 0.0053 0.2701 -198.8352 0.9698 2 1 0 0 0 0 0
2 4 3.0019 2.2352 0.0302 0.0097 -7.8067 2.4373 6.5592 2.4389 0.4958 0.4032 0.0132 0.1329 -232.5594 0.7400 2 2 0 0 0 0 0
2 4 3.0019 2.2352 0.0137 0.0034 164.0234 15.4667 54.8124 15.4974 1.8875 1.1254 0.0132 0.1329 -232.5594 0.7400 2 2 0 0 0 1 0
3 4 nan nan 0.0235 0.0058 -12.2928 1.1794 4.1171 1.1750 0.2426 0.1465 0.0070 0.0276 -206.7819 0.8882 1 2 0 0 0 0 0
4 4 nan nan 0.0872 0.0066 -15.6324 0.3357 3.8180 0.3321 0.8347 0.1413 0.0072 0.1386 -241.1316 1.0766 1 1 0 0 0 0 0
