x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
0 0 1.0000 1.0000 0.6692 0.2454 131.1122 1.3479 3.2210 1.3798 5.4028 5.1447 0.2052 0.0000 -112.0752 2.3758 3 2 0 0 0 0 0
0 0 1.0000 1.0000 1.4237 1.2568 6.1839 0.8836 1.9750 1.7914 7.0484 18.2588 0.2052 0.0000 -112.0752 2.3758 3 2 0 0 0 0 0
0 0 1.0000 1.0000 1.1887 0.2661 43.2601 0.8176 2.3171 0.6024 6.9041 3.7424 0.2052 0.0000 -112.0752 2.3758 3 2 0 0 0 0 0
1 0 nan nan 0.1450 0.0121 0.8975 0.4365 4.5289 0.4363 1.6464 0.3093 0.0148 0.1516 -185.2024 0.8983 3 3 0 0 0 0 0
1 0 nan nan 0.1528 39.8348 -48.3849 50.6728 1.2540 167.1816 0.4804 16882.5254 0.0148 0.1516 -185.2024 0.8983 3 3 0 0 0 0 0
1 0 nan nan 0.0431 0.0137 -22.7544 1.2839 3.4064 1.2179 0.3682 0.2902 0.0148 0.1516 -185.2024 0.8983 3 3 0 0 0 0 0
2 0 nan nan 0.4088 0.0243 0.0258 0.3450 4.4748 0.3741 4.5852 0.6785 0.0266 0.0043 -307.6674 1.5441 3 3 0 0 0 0 0
2 0 nan nan 0.1044 0.0266 136.4102 1.0555 3.6175 1.0741 0.9465 0.5940 0.0266 0.0043 -307.6674 1.5441 3 3 0 0 0 0 0
2 0 nan nan 0.1197 0.0260 14.7569 1.0995 3.8457 1.1707 1.1536 0.6779 0.0266 0.0043 -307.6674 1.5441 3 3 0 0 0 0 0
3 0 nan nan 0.2111 8006.5669 1.6795 86399.5703 2.1949 19089.6172 1.1613 383172992.0000 0.0331 0.0208 -153.3541 1.2464 3 3 0 0 0 0 2
3 0 nan nan 0.2672 0.0629 -8.8509 5.3879 8.8308 2.9824 5.9156 3.8609 0.0331 0.0208 -153.3541 1.2464 3 3 0 0 0 0 2
3 0 nan nan 0.6568 842.6059 -1.1922 15593.9189 1.4188 21552.1348 2.3358 45558736.0000 0.0331 0.0208 -153.3541 1.2464 3 3 0 0 0 0 2
4 0 nan nan 0.4456 0.0104 -1.5726 0.0854 3.4062 0.1048 3.8045 0.2090 0.0082 0.0000 -234.0852 2.5985 3 3 0 0 0 0 1
4 0 nan nan 0.0517 0.0050 -23.1304 2.5819 23.6283 1.9720 3.0624 0.5767 0.0082 0.0000 -234.0852 2.5985 3 3 0 0 0 1 1
4 0 nan nan 0.2721 0.0111 -13.6612 0.1296 2.9482 0.1629 2.0111 0.1979 0.0082 0.0000 -234.0852 2.5985 3 3 0 0 0 0 1
