	velocity	Amplitude
0	-184.908936762	0.16390991
1	-180.99293584215002	0.16132735
2	-177.07693492229998	0.15508845
3	-173.16093400245	0.15625186
4	-169.2449330826	0.16243498
5	-165.32893216275	0.16338494
6	-161.4129312429	0.1705521
7	-157.49693032305	0.16536422
8	-153.5809294032	0.17514278
9	-149.66492848335	0.17113978
10	-145.74892756350002	0.16758731
11	-141.83292664364998	0.16700171
12	-137.9169257238	0.15903069
13	-134.00092480395	0.1631996
14	-130.0849238841	0.1684693
15	-126.16892296425	0.16379492
16	-122.2529220444	0.1652994
17	-118.33692112454999	0.16614065
18	-114.4209202047	0.15591995
19	-110.50491928484999	0.1692634
20	-106.58891836499998	0.17122349
21	-102.67291744515	0.16304976
22	-98.7569165253	0.15898688
23	-94.84091560545	0.16234662
24	-90.9249146856	0.17163879
25	-87.00891376575	0.16464218
26	-83.09291284589999	0.17015664
27	-79.17691192604998	0.16494876
28	-75.26091100619999	0.15996267
29	-71.34491008635	0.16818742
30	-67.42890916649999	0.16458797
31	-63.51290824665	0.16319932
32	-59.59690732679999	0.16801614
33	-55.68090640694999	0.16151857
34	-51.76490548709998	0.1681197
35	-47.848904567249996	0.1617415
36	-43.9329036474	0.16610344
37	-40.01690272754998	0.16663644
38	-36.10090180769999	0.1574538
39	-32.184900887850006	0.173177
40	-28.26889996799998	0.1769791
41	-24.352899048149993	0.17494737
42	-20.436898128300005	0.16951747
43	-16.520897208449984	0.16928689
44	-12.604896288599994	0.17203996
45	-8.688895368750003	0.17640655
46	-4.772894448899984	0.16398144
47	-0.8568935290499939	0.15633094
48	3.0591073907999964	0.1808986
49	6.975108310650016	0.1658951
50	10.891109230500005	0.17028971
51	14.807110150350026	0.16104339
52	18.723111070200016	0.16094908
53	22.639111990050004	0.17819896
54	26.555112909900025	0.156064
55	30.471113829750013	0.16649961
56	34.3871147496	0.17074485
57	38.30311566945002	0.1674209
58	42.219116589300015	0.16353388
59	46.13511750915001	0.1697102
60	50.05111842900003	0.1618913
61	53.96711934885001	0.17578809
62	57.883120268700004	0.16834235
63	61.799121188550025	0.16779095
64	65.71512210840001	0.17758082
65	69.63112302825	0.16356455
66	73.54712394810002	0.16972947
67	77.46312486795001	0.16396162
68	81.37912578780004	0.16546756
69	85.29512670765	0.16060226
70	89.21112762750002	0.16238445
71	93.12712854735003	0.16255683
72	97.04312946719999	0.1748544
73	100.95913038705001	0.16678295
74	104.87513130690003	0.1687036
75	108.79113222675	0.16799572
76	112.70713314660001	0.17639798
77	116.62313406645004	0.17675875
78	120.5391349863	0.16870631
79	124.45513590615	0.15651509
80	128.37113682600003	0.17596097
81	132.28713774585	0.16670375
82	136.2031386657	0.16922328
83	140.11913958555004	0.16613165
84	144.0351405054	0.16241653
85	147.95114142525	0.16428614
86	151.86714234510004	0.17081
87	155.78314326494998	0.1570538
88	159.69914418480002	0.17967156
89	163.61514510465003	0.16427954
90	167.5311460245	0.16898522
91	171.44714694435	0.17319523
92	175.36314786420002	0.17638215
93	179.27914878405	0.16234101
94	183.1951497039	0.16441002
95	187.11115062375004	0.17206705
96	191.02715154359998	0.1699804
97	194.94315246345002	0.1635436
98	198.85915338330003	0.17261446
99	202.77515430315006	0.1597393
100	206.691155223	0.16249366
101	210.60715614285002	0.1646734
102	214.52315706270005	0.16494237
103	218.43915798255	0.16427489
104	222.35515890240004	0.15851612
105	226.27115982225004	0.16591628
106	230.18716074210002	0.165687
107	234.10316166195003	0.16084298
108	238.01916258180006	0.15474395
109	241.93516350165	0.15814938
110	245.85116442150002	0.16405094
111	249.76716534135005	0.17344028
112	253.6831662612	0.15505181
113	257.59916718105	0.15743056
114	261.51516810090004	0.16719584
115	265.43116902074996	0.15404768
116	269.34716994060005	0.1627813
117	273.26317086045003	0.15213016
118	277.17917178029995	0.15350232
119	281.09517270015004	0.15106817
120	285.01117362	0.1575348
121	288.92717453985	0.15600549
122	292.84317545970003	0.16008252
123	296.75917637955	0.15924987
124	300.6751772994	0.16418315
125	304.5911782192501	0.16336857
126	308.5071791391	0.16065857
127	312.42318005895	0.16173252
128	316.3391809788001	0.16742678
129	320.25518189865	0.15215707
130	324.1711828185	0.14948739
131	328.08718373835006	0.17085148
132	332.00318465820004	0.15572116
133	335.91918557804996	0.15627144
134	339.83518649790005	0.16933708
135	343.75118741775003	0.16387604
136	347.66718833760007	0.16147226
137	351.58318925745004	0.16326258
138	355.4991901773	0.16605903
139	359.4151910971501	0.17503971
