,source,ra (deg),dec (deg),ra (hms),dec (dms)
0,j171029-6041,257.620833311,-60.6880555511,17:10:28.99999464,-60:41:16.99998396
1,j163405-5908,248.520833307,-59.1374999772,16:34:04.99999368,-59:08:14.99991792
2,j162909-6133,247.288333308,-61.5625000138,16:29:09.19999392,-61:33:45.00004968
3,j161257-5737,243.237499982,-57.6194444602,16:12:56.99999568,-57:37:10.00005672
5,j161717-5848,244.32083334,-58.8024999769,16:17:17.0000016,-58:48:08.99991684
6,j170418-5751,256.075833307,-57.8508333511,17:04:18.19999368,-57:51:03.00006396
7,j160559-5921,241.496666671,-59.3552777974,16:05:59.20000104,-59:21:19.00007064
8,j160011-5810,240.049583321,-58.1800000109,16:00:11.89999704,-58:10:48.00003924
9,j165016-5908,252.567916682,-59.1377778044,16:50:16.30000368,-59:08:16.00009584
10,j164939-5956,252.412916644,-59.9430555469,16:49:39.09999456,-59:56:34.99996884
11,j170706-5802,256.777083343,-58.0386111012,17:07:06.50000232,-58:02:18.99996432
12,j163254-5938,248.2275,-59.6416666833,16:32:54.6,-59:38:30.00005988
13,j163157-5935,247.990416654,-59.5850000114,16:31:57.69999696,-59:35:06.00004104
14,j163925-6044,249.857083356,-60.7394444222,16:39:25.70000544,-60:44:21.99991992
16,j170336-6212,255.901666685,-62.2111110989,17:03:36.4000044,-62:12:39.99995604
17,j165842-5948,254.675000028,-59.8019444645,16:58:42.00000672,-59:48:07.0000722
18,j161502-5905,243.758749997,-59.098888867,16:15:02.09999928,-59:05:55.9999212
19,j165824-6116,254.600000024,-61.2763888979,16:58:24.00000576,-61:16:35.00003244
20,j161853-5910,244.72083334,-59.1747222376,16:18:53.0000016,-59:10:29.00005536
21,j165449-6013,253.704166646,-60.228611123,16:54:48.99999504,-60:13:43.0000428
22,j164039-6004,250.164999986,-60.0694444216,16:40:39.59999664,-60:04:09.99991776
23,j162700-6043,246.75083335,-60.7241666745,16:27:00.200004,-60:43:27.0000282
24,j170433-5914,256.140416652,-59.2347222061,17:04:33.69999648,-59:14:04.99994196
25,j161051-5750,242.713333324,-57.8472222273,16:10:51.19999776,-57:50:50.00001828
27,j165201-5817,253.005833309,-58.2863888769,16:52:01.39999416,-58:17:10.99995684
28,j162854-6151,247.227083318,-61.8769444657,16:28:54.49999632,-61:52:37.00007652
29,j165636-6055,254.150000003,-60.9252777827,16:56:36.00000072,-60:55:31.00001772
30,j162150-6045,245.462083335,-60.7547222272,16:21:50.9000004,-60:45:17.00001792
31,j162332-5829,245.883333308,-58.4952777726,16:23:31.99999392,-58:29:42.99998136
32,j165440-5801,253.669583314,-58.0291666941,16:54:40.69999536,-58:01:45.00009876
33,j170242-5803,255.675416653,-58.0536111362,17:02:42.09999672,-58:03:13.00009032
34,j161834-5809,244.641666672,-58.164166666,16:18:34.00000128,-58:09:50.9999976
35,j164153-5951,250.471249995,-59.8536111055,16:41:53.0999988,-59:51:12.9999798
36,j165657-6023,254.237499998,-60.3972222316,16:56:56.99999952,-60:23:50.00003376
