x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
0 0 1.0000 1.0000 0.0750 0.0014 -2.3741 0.1631 3.9951 0.1644 0.7510 0.0451 0.0020 0.0139 -1355.2345 1.3393 2 1 0 0 0 0 0
0 0 1.0000 1.0000 0.0204 0.0052 -18.9714 0.5876 2.2315 0.7016 0.1142 0.0741 0.0020 0.0139 -1355.2345 1.3393 2 1 0 0 0 0 0
1 0 nan nan 0.0621 0.0106 1.3512 0.4792 3.0277 0.5716 0.4709 0.1848 0.0089 0.2661 -981.5900 1.0633 1 1 0 0 0 0 0
2 0 nan nan 0.0334 0.0042 0.5202 0.3397 2.4377 0.3778 0.2041 0.0614 0.0027 0.0002 -1202.5323 2.0945 1 1 0 0 0 0 0
3 0 nan nan 0.1671 0.0050 -2.9345 0.0689 2.6983 0.0945 1.1300 0.0742 0.0026 0.0001 -1203.1119 1.6458 1 1 0 0 0 0 0
4 0 nan nan 0.2881 0.0329 -4.5223 0.4549 2.3500 0.2898 1.6969 0.4270 0.0336 0.0885 -686.8767 1.2362 1 1 0 0 0 0 0
6 0 nan nan 0.0981 0.0084 -1.8076 0.3335 3.4052 0.3402 0.8373 0.1626 0.0090 0.0831 -1030.2402 0.8686 1 1 0 0 0 0 0
7 0 nan nan 0.0951 0.0131 -0.9103 0.5613 3.4711 0.5407 0.8275 0.2602 0.0144 0.1260 -903.5560 1.0116 1 1 0 0 0 0 0
8 0 nan nan 0.0784 0.0071 1.8098 0.2299 2.6997 0.3040 0.5307 0.1131 0.0054 0.0621 -1062.4205 1.2346 1 1 0 0 0 0 0
1 1 2.0004 1.4141 0.0538 0.0076 -1.6674 0.4594 2.8540 0.4754 0.3847 0.1274 0.0072 0.1193 -1117.9474 1.1339 1 1 0 0 0 0 0
2 1 nan nan 0.0601 0.0084 -1.0961 0.5055 2.5086 0.3869 0.3778 0.1191 0.0084 0.6679 -993.9754 1.1583 1 1 0 0 0 0 0
4 1 nan nan 0.0553 0.0070 -3.0546 0.4294 3.1432 0.4677 0.4357 0.1284 0.0065 0.0008 -1051.7178 0.9227 1 1 0 0 0 0 0
5 1 nan nan 0.0542 0.0020 -0.8883 0.1546 3.5615 0.1503 0.4841 0.0391 0.0015 0.0070 -1504.2267 1.0725 1 1 0 0 0 0 0
6 1 nan nan 0.1311 0.0352 1.7271 0.3957 2.3622 0.7242 0.7763 0.5105 0.0168 0.5881 -830.3441 1.1644 1 1 0 0 0 0 0
7 1 nan nan 0.0801 0.0093 0.1206 0.4022 2.7688 0.3619 0.5561 0.1455 0.0090 0.0440 -979.1730 1.2614 1 1 0 0 0 0 0
8 1 nan nan 0.0473 0.0080 -2.2970 0.6283 3.3378 0.6698 0.3958 0.1596 0.0078 0.0003 -983.5931 1.2488 1 1 0 0 0 0 0
2 2 3.0007 0.9990 0.0179 0.0031 -1.5913 0.6616 3.3649 0.6626 0.1512 0.0606 0.0022 0.0159 -1353.8196 0.9319 1 1 0 0 0 0 0
4 2 nan nan 0.3298 0.0882 -3.4202 0.5463 2.2045 0.5960 1.8225 1.1116 0.0436 0.3026 -644.7672 1.0340 1 1 0 0 0 0 0
5 2 nan nan 0.0964 0.0143 -2.9352 0.6679 3.9038 0.6730 0.9432 0.3270 0.0164 0.1113 -872.2305 1.0402 1 1 0 0 0 0 0
