x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
0 0 1.0000 1.0000 0.0901 0.0288 1.2231 0.3426 3.2703 0.3500 0.7383 0.3402 0.0063 0.0507 -1459.7280 1.2636 2 1 0 0 0 0 0
0 0 1.0000 1.0000 0.0899 0.0102 -9.8897 0.2902 2.6189 0.4091 0.5904 0.1698 0.0063 0.0507 -1459.7280 1.2636 2 1 0 0 0 0 0
1 0 nan nan 0.9765 0.0155 -0.0634 0.0758 2.0765 0.0438 5.0826 0.1898 0.0121 0.0018 -910.4408 1.2984 2 1 0 0 0 0 0
1 0 nan nan 0.0926 0.0430 -9.2007 0.4340 2.3432 1.4964 0.5441 0.7617 0.0121 0.0018 -910.4408 1.2984 2 1 0 0 0 0 0
2 0 nan nan 1.4231 0.0724 4.7239 0.2443 1.8929 0.1353 6.7525 0.8507 0.0626 0.0149 -595.3508 0.8544 1 1 0 0 0 0 0
3 0 nan nan 0.2671 0.0659 2.6313 0.3399 2.3733 0.7076 1.5891 0.9826 0.0302 0.0374 -700.6132 1.1035 1 1 0 0 0 0 0
4 0 nan nan 0.2939 0.0398 0.1954 0.5436 4.0688 0.5413 2.9978 0.8590 0.0378 0.5883 -688.9753 1.2243 1 1 0 0 0 0 0
5 0 nan nan 0.4448 0.0438 4.3064 0.4860 1.9886 0.2528 2.2170 0.5281 0.0458 0.4347 -634.0778 1.1665 1 1 0 0 0 0 0
6 0 nan nan 1.0138 0.0365 0.5783 0.1615 2.0959 0.0904 5.3261 0.4297 0.0378 0.3755 -690.8771 1.1328 1 1 0 0 0 0 0
7 0 nan nan 0.5748 0.2604 3.2346 0.4533 1.7744 0.5017 2.5564 2.2082 0.0230 0.5068 -1050.4022 1.2871 2 1 2 0 0 0 0
7 0 nan nan 0.1315 0.0183 -9.6697 1.4604 7.2782 1.6256 2.3984 0.9449 0.0230 0.5068 -1050.4022 1.2871 2 1 2 0 0 0 0
8 0 nan nan 0.4935 0.0852 3.4488 0.1499 1.7296 0.1475 2.1397 0.5833 0.0010 0.0000 -1549.3005 5.4834 5 1 7 0 0 0 0
8 0 nan nan 0.0072 0.0060 40.2594 4.6040 4.7684 4.6037 0.0856 0.2233 0.0010 0.0000 -1549.3005 5.4834 5 1 7 0 0 0 0
8 0 nan nan 0.0122 0.0073 215.1162 2.2893 2.4252 1.5813 0.0744 0.1222 0.0010 0.0000 -1549.3005 5.4834 5 1 7 0 0 0 0
8 0 nan nan 0.0614 0.0087 -18.2625 0.5423 2.7648 0.4672 0.4254 0.1421 0.0010 0.0000 -1549.3005 5.4834 5 1 7 0 0 0 0
8 0 nan nan 0.0409 0.0070 -5.3371 1.7365 4.9151 2.5383 0.5036 0.3901 0.0010 0.0000 -1549.3005 5.4834 5 1 7 0 1 0 0
10 0 nan nan 0.2549 0.0878 2.3305 0.3175 3.3353 0.3406 2.1314 1.0263 0.0220 0.0315 -794.9587 1.1930 1 1 0 0 0 0 0
11 0 nan nan 0.4223 0.0516 3.3670 0.3571 2.3906 0.3563 2.5309 0.7327 0.0385 0.0000 -636.3865 1.4395 1 1 0 0 0 0 0
12 0 nan nan 0.9076 0.0859 1.3096 0.2934 2.2566 0.2615 5.1336 1.1369 0.0629 0.0009 -595.9917 1.3173 1 1 0 0 0 0 0
13 0 nan nan 0.5242 0.0234 2.7633 0.0851 2.5267 0.1348 3.3200 0.3332 0.0104 0.0042 -1245.2529 1.5080 1 1 0 0 0 0 0
14 0 nan nan 0.2455 0.2348 -1.6749 6.4414 3.0370 2.6125 1.8686 4.9328 0.0134 0.0719 -880.7680 1.2965 2 1 0 0 0 0 0
14 0 nan nan 0.4156 0.9650 5.3936 16.9604 1.6848 15.2201 1.7550 56.7467 0.0134 0.0719 -880.7680 1.2965 2 1 0 0 0 0 0
16 0 nan nan 0.2249 0.0162 5.2169 0.3131 3.7608 0.3122 2.1198 0.3413 0.0149 0.0000 -798.0566 2.3641 1 1 0 0 1 0 0
17 0 nan nan 0.5276 0.0544 3.1556 0.1665 2.0777 0.2053 2.7477 0.5828 0.0176 0.0001 -776.0351 1.5493 1 1 0 0 0 0 0
1 1 2.0004 1.4141 1.7034 0.1270 3.5975 0.2498 2.1531 0.1990 9.1936 1.5986 0.0935 0.0000 -455.5309 1.3303 1 1 0 0 0 0 0
3 1 nan nan 0.4054 0.0215 3.6347 0.1820 1.9244 0.1292 1.9555 0.2417 0.0096 0.0985 -927.8605 1.2575 2 1 0 0 0 0 0
3 1 nan nan 0.0681 0.0109 -8.3100 0.7965 4.2373 0.8724 0.7236 0.2883 0.0096 0.0985 -927.8605 1.2575 2 1 0 0 0 0 0
5 1 nan nan 0.2080 0.0672 3.0784 0.5269 2.0256 0.7175 1.0563 0.8366 0.0218 0.4097 -753.2721 1.2667 1 1 0 0 0 0 0
6 1 nan nan 0.5544 0.0006 6.4565 0.0407 2.6940 0.0607 3.7440 0.0883 0.0030 0.0000 -1414.7847 6.0759 1 1 0 0 0 0 0
7 1 nan nan 0.3295 0.0088 3.3750 0.0812 2.5110 0.0809 2.0736 0.1242 0.0077 0.1173 -1068.3578 0.9733 2 1 1 0 0 0 0
7 1 nan nan 0.1600 0.0111 -19.6535 0.2843 1.8663 0.1761 0.7485 0.1274 0.0077 0.1173 -1068.3578 0.9733 2 1 1 0 0 0 0
8 1 nan nan 0.2965 0.0122 4.0833 0.2415 1.7488 0.1174 1.2996 0.1441 0.0106 0.0571 -936.6880 1.0628 1 1 1 0 0 0 0
9 1 nan nan 0.6460 0.0301 0.9961 0.1759 2.1930 0.1229 3.5510 0.3739 0.0269 0.3055 -743.0099 1.0584 1 1 1 0 0 0 0
10 1 nan nan 0.6065 0.0166 3.6611 0.0965 1.9634 0.0691 2.9850 0.1894 0.0090 0.4408 -995.8480 1.2420 2 1 0 0 0 0 0
10 1 nan nan 0.2000 0.0103 -11.6977 0.2014 3.2879 0.1901 1.6487 0.1849 0.0090 0.4408 -995.8480 1.2420 2 1 0 0 0 0 0
12 1 nan nan 0.3049 0.0330 1.3798 0.2617 2.0090 0.2376 1.5353 0.3675 0.0152 0.0477 -842.2560 1.1764 1 1 0 0 0 0 0
13 1 nan nan 0.4011 0.1763 3.1050 0.7259 1.9783 0.9469 1.9891 2.2447 0.0492 0.0135 -580.7470 1.3502 1 1 0 0 0 0 0
14 1 nan nan 0.2028 0.0205 4.6005 0.5499 1.8377 0.2775 0.9343 0.2496 0.0187 0.0690 -804.7526 1.2954 1 1 0 0 0 0 0
15 1 nan nan 0.4706 0.0478 -15.6133 0.4525 3.8395 0.4484 4.5295 1.0429 0.0486 0.0080 -587.2075 1.7301 2 1 0 0 0 0 0
15 1 nan nan 1.1638 0.1895 3.3888 0.3603 1.8191 0.3183 5.3067 1.9434 0.0486 0.0080 -587.2075 1.7301 2 1 0 0 0 0 0
16 1 nan nan 0.4892 0.0791 -15.0913 0.6280 3.1832 0.5704 3.9038 1.4442 0.0795 0.0127 -524.8645 1.2057 2 1 0 0 0 0 0
16 1 nan nan 1.1530 0.0814 4.4260 0.4360 1.7968 0.2034 5.1929 0.9962 0.0795 0.0127 -524.8645 1.2057 2 1 0 0 0 0 0
17 1 nan nan 1.6350 0.1146 4.6580 0.3039 2.0934 0.1790 8.5794 1.3865 0.1062 0.0000 -429.3175 1.3848 1 1 0 0 0 0 0
0 2 1.0000 2.2362 0.7944 0.0224 3.2670 0.1974 2.2630 0.2152 4.5061 0.5673 0.0379 0.0279 -661.0376 1.4368 2 1 0 0 0 0 0
0 2 1.0000 2.2362 0.5571 0.0559 -15.9305 0.3403 2.0678 0.2618 2.8873 0.6923 0.0379 0.0279 -661.0376 1.4368 2 1 0 0 0 0 0
1 2 2.0007 1.9999 0.5358 0.1676 3.1848 0.5601 1.9930 0.6586 2.6765 1.9983 0.0550 0.1399 -580.2102 1.1483 1 1 0 0 0 0 0
2 2 3.0007 0.9990 1.2068 0.0856 -0.2915 0.2546 2.9731 0.2386 8.9935 1.4111 0.0821 0.0006 -528.0352 1.1870 1 1 0 0 0 0 0
3 2 nan nan 0.2321 0.0429 1.5461 0.5260 2.6062 0.5666 1.5161 0.6709 0.0314 0.0000 -670.6663 1.7584 1 1 0 0 0 0 0
4 2 nan nan 0.4099 0.0232 2.8648 0.1263 2.2887 0.2331 2.3519 0.3863 0.0142 0.0000 -872.1324 1.3400 2 1 0 0 0 0 1
4 2 nan nan 0.1993 0.0143 -7.5908 0.3104 3.4371 0.3115 1.7168 0.2904 0.0142 0.0000 -872.1324 1.3400 2 1 0 0 0 0 1
5 2 nan nan 0.0893 1439.2675 -4.1458 193497.4062 2.9279 39338.9766 0.6553 141942928.0000 0.0115 0.0478 -889.4896 1.4232 3 1 1 0 0 0 1
5 2 nan nan 0.2741 2005.1597 -8.7264 13363.6797 1.7100 5676.1221 1.1751 28541764.0000 0.0115 0.0478 -889.4896 1.4232 3 1 1 0 0 0 1
5 2 nan nan 0.2741 111068.5000 1.7853 12183.9102 1.7336 4939.0327 1.1913 1375549440.0000 0.0115 0.0478 -889.4896 1.4232 3 1 1 0 0 0 1
6 2 nan nan 0.4848 0.0471 2.6985 0.2281 2.6942 0.3246 3.2742 0.7509 0.0341 0.0158 -665.5344 1.3826 1 1 0 0 0 0 0
