x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
0 0 1.0000 1.0000 0.4359 0.0036 11.4531 0.0452 4.7311 0.0452 5.1693 0.0927 0.0042 0.0440 -1144.5994 1.0312 1 0 0 0 0 0 0
2 0 nan nan 0.0421 0.0073 279.2290 5.3735 26.9180 5.3777 2.8422 1.1575 0.0217 0.0000 -796.7897 0.8977 1 1 0 0 0 1 0
3 0 nan nan 0.0432 0.0062 14.2111 1.8175 11.0260 1.8175 1.1930 0.3951 0.0103 0.3342 -946.4208 1.3112 1 1 0 0 0 0 0
4 0 nan nan 0.0714 0.0052 2.2891 0.7975 9.5689 0.7975 1.7138 0.2769 0.0084 0.0218 -1063.7777 0.9385 1 0 0 0 0 0 0
1 1 2.0004 1.4141 0.0498 0.0065 -0.0483 0.8798 5.8537 0.8798 0.7313 0.2194 0.0088 0.1859 -956.1052 1.0529 1 0 0 0 0 0 0
2 1 nan nan 0.0291 0.0055 -4.2295 1.2136 5.5845 1.2136 0.4079 0.1821 0.0071 0.0083 -1029.4138 0.7907 1 0 0 0 0 0 0
4 1 nan nan 0.1437 0.0118 -3.2282 0.5531 5.8161 0.5531 2.0952 0.3882 0.0154 0.1841 -858.9131 0.9774 1 0 0 0 0 0 0
0 2 1.0000 2.2362 0.1010 0.0048 -8.6758 0.2811 5.0798 0.2811 1.2864 0.1362 0.0048 0.3111 -1011.7517 1.6802 1 0 0 0 0 0 0
4 2 nan nan 0.3187 0.0253 44.5130 0.5049 5.5000 0.5049 4.3932 0.7847 0.0330 0.1584 -720.2904 1.0644 1 0 0 0 0 0 1
5 2 nan nan 0.0487 0.0046 -5.9318 1.1620 10.5730 1.1620 1.2917 0.2784 0.0073 0.2763 -977.8799 1.3555 1 1 0 0 0 0 0
2 3 3.0013 1.7311 0.0391 0.0061 40.8398 0.9065 5.0490 0.9064 0.4944 0.1794 0.0076 0.0089 -1032.7246 0.9830 1 0 0 0 0 0 0
4 3 nan nan 0.0561 0.0075 3.8259 0.8484 5.4558 0.8560 0.7678 0.2396 0.0085 0.0415 -925.8192 1.4901 2 0 0 0 0 0 0
4 3 nan nan 0.0272 0.0060 -28.8947 2.1822 8.5015 2.2150 0.5795 0.3133 0.0085 0.0415 -925.8192 1.4901 2 0 0 0 0 0 0
0 4 1.0000 3.0003 0.1390 0.0039 13.8928 0.1257 3.8551 0.1280 1.3429 0.0832 0.0042 0.5724 -1189.0693 0.9637 2 0 0 0 0 0 0
0 4 1.0000 3.0003 0.0397 0.0039 -2.8413 0.4423 3.9077 0.4576 0.3887 0.0878 0.0042 0.5724 -1189.0693 0.9637 2 0 0 0 0 0 0
4 4 nan nan 0.0694 0.0048 -9.4579 0.4033 5.0480 0.4032 0.8786 0.1358 0.0057 0.1073 -1257.6060 1.1981 1 0 0 0 0 0 0
