x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
0 1 1.0000 1.7321 0.1252 0.0125 -3.3367 0.1080 0.9367 0.1080 0.2939 0.0666 0.0284 0.0100 -871.1055 0.8478 1 0 0 0 0 0 0
1 2 2.0007 1.9999 0.1354 0.0188 -2.4647 0.1596 0.9971 0.1597 0.3384 0.1086 0.0447 0.1810 -691.1078 0.6920 2 0 0 0 0 0 0
1 2 2.0007 1.9999 0.1479 0.0131 6.1563 0.2097 2.0532 0.2099 0.7610 0.1520 0.0447 0.1810 -691.1078 0.6920 2 0 0 0 0 1 0
2 2 3.0007 0.9990 0.0884 0.0042 -1.5873 0.2478 3.4557 0.2407 0.7661 0.0926 0.0182 0.0002 -801.4798 1.0106 2 0 0 0 0 1 0
2 2 3.0007 0.9990 0.0931 0.0112 -6.2939 0.0754 0.5954 0.0898 0.1389 0.0402 0.0182 0.0002 -801.4798 1.0106 2 0 0 0 0 0 0
0 3 1.0000 2.6459 0.1878 0.0216 -0.9160 0.3234 2.4355 0.3234 1.1463 0.3015 0.0749 0.0001 -624.3146 1.8283 1 2 0 0 0 0 0
1 3 2.0010 2.4494 0.4831 0.0257 -3.8777 0.1336 2.1764 0.1336 2.6356 0.3105 0.0874 0.0000 -539.7739 1.6069 3 1 3 0 0 0 0
1 3 2.0010 2.4494 0.3725 0.0529 -135.3457 0.0840 0.5117 0.0840 0.4777 0.1575 0.0874 0.0000 -539.7739 1.6069 3 1 3 0 0 0 0
1 3 2.0010 2.4494 0.3101 0.0278 7.6457 0.1924 1.8603 0.1925 1.4460 0.2925 0.0874 0.0000 -539.7739 1.6069 3 1 3 0 0 0 0
0 4 1.0000 3.0003 0.1365 0.0100 -3.1393 0.2844 3.3563 0.2844 1.1485 0.1888 0.0425 0.0000 -603.9584 1.2802 1 2 0 0 0 0 0
1 4 2.0013 2.8284 2.4305 0.1400 -0.6311 0.0163 0.2317 0.0168 1.4113 0.1896 0.1266 0.0000 -529.9279 2.1377 2 1 0 0 0 0 0
1 4 2.0013 2.8284 0.5678 0.0861 -2.0175 0.1176 0.6114 0.1313 0.8701 0.3472 0.1266 0.0000 -529.9279 2.1377 2 1 0 0 0 1 0
