x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
1 0 nan nan 0.1640 0.0240 2.4731 0.6782 4.1306 0.6757 1.6979 0.5675 0.0224 0.0108 -302.5884 2.2147 1 1 0 0 0 0 0
2 0 nan nan 0.5372 0.0458 2.0011 0.3510 3.5169 0.3425 4.7357 0.9045 0.0432 0.0004 -224.6422 1.7862 1 1 0 0 0 0 0
3 0 nan nan 1.1163 0.3759 1.5159 0.2485 2.0546 0.2482 5.7492 2.8643 0.0502 0.0286 -238.3615 1.4752 2 1 0 0 0 0 0
3 0 nan nan 0.2970 0.0442 -10.3899 0.9230 4.9982 1.0398 3.7207 1.4430 0.0502 0.0286 -238.3615 1.4752 2 1 0 0 0 0 0
4 0 nan nan 0.7036 0.0230 0.1113 0.0651 2.5655 0.0943 4.5248 0.3199 0.0112 0.0134 -423.6481 2.5880 4 1 4 0 0 0 0
4 0 nan nan 0.1082 0.0148 -37.9105 0.5881 3.0787 0.6643 0.8354 0.3191 0.0112 0.0134 -423.6481 2.5880 4 1 4 0 0 0 0
4 0 nan nan 0.5252 0.0388 -11.8621 0.1595 2.1561 0.2195 2.8384 0.5202 0.0112 0.0134 -423.6481 2.5880 4 1 4 0 0 0 0
4 0 nan nan 0.0555 0.0134 -24.8669 1.2877 4.3089 1.9121 0.5998 0.4747 0.0112 0.0134 -423.6481 2.5880 4 1 4 0 0 0 0
5 0 nan nan 0.2297 0.0175 -0.1874 0.3647 4.1551 0.3651 2.3919 0.4081 0.0175 0.2172 -302.0587 1.8943 1 3 2 0 0 0 0
0 1 1.0000 1.7321 0.7098 0.0908 -3.8176 1.0000 6.7695 1.0000 12.0437 3.5475 0.0795 0.0000 -223.1755 4.8471 1 1 0 0 1 0 0
1 1 2.0004 1.4141 0.4605 0.0330 1.3198 0.2016 2.7100 0.2293 3.1283 0.5081 0.0249 0.4325 -304.2081 1.4792 1 1 0 0 0 0 0
2 1 nan nan 0.3965 0.0456 0.4761 0.3504 3.1056 0.4036 3.0864 0.8022 0.0343 0.0007 -409.7579 1.3343 1 1 0 0 0 0 0
3 1 nan nan 1.3146 0.1286 1.5176 0.3495 3.1043 0.3530 10.2297 2.2774 0.1100 0.0029 -269.0678 1.5049 1 2 1 0 0 0 0
4 1 nan nan 1.5646 0.7244 7.3843 2.1189 2.0465 2.0690 8.0259 15.5878 0.0303 0.0102 -383.4574 1.6764 3 1 0 0 0 0 0
4 1 nan nan 0.4920 0.6079 0.4152 2.4604 1.9565 1.8787 2.4129 8.1611 0.0303 0.0102 -383.4574 1.6764 3 1 0 0 0 0 0
4 1 nan nan 0.1558 0.0293 -15.6148 1.4865 6.2647 1.6775 2.4464 1.2383 0.0303 0.0102 -383.4574 1.6764 3 1 0 0 0 0 0
5 1 nan nan 0.5950 0.0690 0.8096 0.3761 3.2029 0.4161 4.7773 1.2462 0.0563 0.1899 -345.7459 1.3474 1 2 1 0 0 0 0
