x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
0 0 1.0000 1.0000 0.1641 0.0062 -0.6490 0.1932 4.7037 0.1795 1.9343 0.1498 0.0236 0.0000 -3388.4963 2.0538 2 2 0 0 1 1 0
0 0 1.0000 1.0000 0.3098 0.0170 1.8685 0.0303 0.4910 0.0329 0.3813 0.0479 0.0236 0.0000 -3388.4963 2.0538 2 2 0 0 0 0 0
1 0 nan nan 1.1461 0.1332 0.4804 0.0970 0.7697 0.1115 2.2111 0.6145 0.1879 0.0000 -1319.8834 3.0005 3 2 0 1 1 0 0
1 0 nan nan 1.6297 0.0648 -21.6900 0.1286 2.7991 0.1287 11.4344 1.0013 0.1879 0.0000 -1319.8834 3.0005 3 2 0 0 1 0 0
1 0 nan nan 1.5508 0.0667 1.7619 0.1992 5.5471 0.2157 21.5626 1.8026 0.1879 0.0000 -1319.8834 3.0005 3 2 0 1 1 0 0
2 0 nan nan 0.3473 0.0054 8.1603 0.0220 1.2200 0.0220 1.0620 0.0361 0.0128 0.0000 -5039.6128 1.6440 1 2 0 0 1 0 0
0 1 1.0000 1.7321 1.8729 0.0343 3.3417 0.1054 4.7350 0.1103 22.2300 0.9342 0.1146 0.0000 -1684.8130 4.5497 2 2 0 0 1 0 0
0 1 1.0000 1.7321 0.4760 0.0317 -16.8772 0.4495 5.6486 0.4798 6.7390 1.0587 0.1146 0.0000 -1684.8130 4.5497 2 2 0 0 0 0 0
1 1 2.0004 1.4141 1.3167 0.0445 -1.7176 0.2999 7.6858 0.2999 25.3666 1.8803 0.2044 0.0000 -1052.6797 3.4742 1 2 0 0 1 0 0
2 1 nan nan 1.2710 0.0417 9.8340 0.0311 0.8023 0.0325 2.5560 0.1906 0.0787 0.0000 -2902.3848 1.6193 2 1 0 0 0 0 0
2 1 nan nan 0.7229 0.0416 6.5427 0.0547 0.8060 0.0572 1.4605 0.1936 0.0787 0.0000 -2902.3848 1.6193 2 1 0 0 0 0 0
0 2 1.0000 2.2362 0.4409 0.0186 -8.9999 0.1777 3.6338 0.1868 4.0156 0.3843 0.0715 0.0000 -2503.4214 2.2222 3 1 2 0 1 0 0
0 2 1.0000 2.2362 0.8211 0.0244 4.7388 0.1691 2.2456 0.1537 4.6219 0.4633 0.0715 0.0000 -2503.4214 2.2222 3 1 2 0 1 0 0
0 2 1.0000 2.2362 1.4661 0.0585 0.6636 0.0450 1.1228 0.0456 4.1264 0.3390 0.0715 0.0000 -2503.4214 2.2222 3 1 2 0 0 0 0
1 2 2.0007 1.9999 0.9741 0.0324 -0.1401 0.2440 6.3494 0.2440 15.5042 1.1318 0.1422 0.0000 -1472.3711 3.4504 1 2 2 0 1 0 0
2 2 3.0007 0.9990 0.3855 0.0109 0.4779 0.1261 3.8525 0.1261 3.7228 0.2309 0.0425 0.0000 -3388.3459 2.2958 1 2 3 0 1 0 0
1 3 2.0010 2.4494 0.6095 0.0103 2.6852 0.0396 1.2720 0.0332 1.9433 0.0846 0.0051 0.0000 -5043.8984 4.2978 5 1 6 1 1 0 0
1 3 2.0010 2.4494 0.0755 0.0018 -19.5561 0.1077 3.8657 0.1157 0.7320 0.0398 0.0051 0.0000 -5043.8984 4.2978 5 1 6 0 1 0 0
1 3 2.0010 2.4494 0.0725 0.0030 -9.5580 0.0691 1.3836 0.0713 0.2515 0.0237 0.0051 0.0000 -5043.8984 4.2978 5 1 6 0 1 0 0
